"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"21","Mezhennaya N.M., Mikhailov V.G.","On frequencies of elements in multicyclic random sequence modulo 4","2015","Discrete Mathematics and Applications","Bauman State Technical University, Russian Federation; Steklov Mathematical Institute of RAS, Russian Federation","Mezhennaya, N.M., Bauman State Technical University, Russian Federation; Mikhailov, V.G., Steklov Mathematical Institute of RAS, Russian Federation","","","","9249265","Article","2-s2.0-84949963365","Q4","0.204","2604; 2607;"
"22","Berezin A.V., Kuftov A.F., Shkurikhin I.B.","Blading impellers of radial-flow compressors","2015","Journal of Machinery Manufacture and Reliability","Blagonravov Mechanical Engineering Research Institute of RAS, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Berezin, A.V., Blagonravov Mechanical Engineering Research Institute of RAS, Moscow, Russian Federation; Kuftov, A.F., Bauman Moscow State Technical University, Moscow, Russian Federation; Shkurikhin, I.B., Blagonravov Mechanical Engineering Research Institute of RAS, Moscow, Russian Federation","","","","10526188","Article","2-s2.0-84950269735","Q2","0.238","2209; 2210; 2213;"
"23","Komshina A.V., Pomel’nikova A.S., Fetisov G.P.","Effect of a low-energy action on the surface of metallic alloys","2015","Russian Metallurgy (Metally)","Bauman Moscow State Technical University, Moscow, Russian Federation; Moscow Aviation Institute (National Research University), Moscow, Russian Federation","Komshina, A.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Pomel’nikova, A.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Fetisov, G.P., Moscow Aviation Institute (National Research University), Moscow, Russian Federation","","","","360295","Article","2-s2.0-84959576805","Q3","0.203","2506;"
"24","Vinogrado V.V., Shakurov A.G., Tyazhel’nikova I.L., Vinogradova E.P., Esenbekov V.S.","Mathematical simulation of melted slag cooling by a system of metal balls","2015","Technical Physics","Bardin Central Research Institute for Iron and Steel Industry, Vtoraya Baumanskaya ul. 9/23, Moscow, Russian Federation; Trapeznikov Institute of Control Science, Russian Academy of Sciences, Profsoyuznaya ul. 65, Moscow, Russian Federation; Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","Vinogrado, V.V., Bardin Central Research Institute for Iron and Steel Industry, Vtoraya Baumanskaya ul. 9/23, Moscow, Russian Federation; Shakurov, A.G., Bardin Central Research Institute for Iron and Steel Industry, Vtoraya Baumanskaya ul. 9/23, Moscow, Russian Federation; Tyazhel’nikova, I.L., Bardin Central Research Institute for Iron and Steel Industry, Vtoraya Baumanskaya ul. 9/23, Moscow, Russian Federation; Vinogradova, E.P., Trapeznikov Institute of Control Science, Russian Academy of Sciences, Profsoyuznaya ul. 65, Moscow, Russian Federation; Esenbekov, V.S., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","","","","10637842","Article","2-s2.0-84950310048","Q2","0.39","3101;"
"25","Zimin A.M., Krupin V.A., Troynov V.I., Klyuchnikov L.A.","Molecular emission in the edge plasma of T-10 tokamak","2015","Physics of Atomic Nuclei","Bauman Moscow State Technical University, Moscow, Russian Federation; National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Moscow, Russian Federation; National Research Centre Kurchatov Institute, Moscow, Russian Federation","Zimin, A.M., Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Moscow, Russian Federation; Krupin, V.A., National Research Centre Kurchatov Institute, Moscow, Russian Federation; Troynov, V.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Klyuchnikov, L.A., National Research Centre Kurchatov Institute, Moscow, Russian Federation","","","","10637788","Article","2-s2.0-84955468669","Q3","0.327","3106; 3107;"
"26","Borovskii G.V., Shavva M.A., Zakharevich E.M., Grubyi S.V., Maslov A.R.","Ultraprecision machining of brittle optical materials","2015","Russian Engineering Research","Russian Research&Development Tooling Institute, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation; Stankin Moscow State Technological University, Moscow, Russian Federation","Borovskii, G.V., Russian Research&Development Tooling Institute, Moscow, Russian Federation; Shavva, M.A., Russian Research&Development Tooling Institute, Moscow, Russian Federation; Zakharevich, E.M., Russian Research&Development Tooling Institute, Moscow, Russian Federation; Grubyi, S.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Maslov, A.R., Stankin Moscow State Technological University, Moscow, Russian Federation","","","","1068798X","Article","2-s2.0-84953320986","Q2","0.278","2209; 2210;"
"27","Komshina A.V., Pomel’nikova A.S., Shipko M.N., Korovushkin V.V.","Effect of magnetic-pulse treatment on the surface defects, the properties, and the structure of sendust alloy","2015","Russian Metallurgy (Metally)","Bauman Moscow State Technical University, Moscow, Russian Federation; Lenin Ivanovo State University of Power Engineering, Ivanovo, Russian Federation; National University of Science and Technology MISiS, Moscow, Russian Federation","Komshina, A.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Pomel’nikova, A.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Shipko, M.N., Lenin Ivanovo State University of Power Engineering, Ivanovo, Russian Federation; Korovushkin, V.V., National University of Science and Technology MISiS, Moscow, Russian Federation","","","","360295","Article","2-s2.0-84959452099","Q3","0.203","2506;"
"28","Ege N., Erbaş B., Prikazchikov D.A.","On the 3D Rayleigh wave field on an elastic half-space subject to tangential surface loads","2015","ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik","Department of Mathematics, Anadolu University, Turkey; School of Computing and Mathematics, Keele University, Staffordshire, United Kingdom; Research Centre Symplex, The Bauman Moscow State Technical University, Russian Federation","Ege, N., Department of Mathematics, Anadolu University, Turkey; Erbaş, B., Department of Mathematics, Anadolu University, Turkey; Prikazchikov, D.A., School of Computing and Mathematics, Keele University, Staffordshire, United Kingdom, Research Centre Symplex, The Bauman Moscow State Technical University, Russian Federation",":1306F268, Anadolu, Anadolu Üniversitesi","Fruitful discussions and insightful comments of Prof J. Kaplunov are very gratefully acknowledged. The research was supported by Anadolu University, Research Projects No:1306F268.","","442267","Article","2-s2.0-84957426353","Q2","0.604","2604; 2206;"
"29","Gouskov A.M., Voronov S.A., Ivanov I.I., Kiselev I.A., Novikov V.V.","Investigation of vibratory drilling model with adaptive control. Part 2: Mixed control of peak-to-peak vibration displacement and cutting continuity index","2015","Journal of Vibroengineering","Bauman Moscow State Technical University, Moscow, Russian Federation; Russian Foundation for Basic Research, Bauman Moscow State Technical University, Russian Federation; Central Institute of Aviation Motors, Bauman Moscow State Technical University, Russian Federation; Applied Mechanics Department, Bauman Moscow State Technical University, Russian Federation; Smartec JSC, group Safran, Bauman Moscow State Technical University, Russian Federation","Gouskov, A.M., Bauman Moscow State Technical University, Moscow, Russian Federation; Voronov, S.A., Russian Foundation for Basic Research, Bauman Moscow State Technical University, Russian Federation; Ivanov, I.I., Central Institute of Aviation Motors, Bauman Moscow State Technical University, Russian Federation; Kiselev, I.A., Applied Mechanics Department, Bauman Moscow State Technical University, Russian Federation; Novikov, V.V., Smartec JSC, group Safran, Bauman Moscow State Technical University, Russian Federation","MES, Ministry of Education and Science","The research was funded by the financial support of Ministry of Education and Science, NIR N 9.1073.2014K under the design part of the State-guaranteed order in scientific research area.","","13928716","Article","2-s2.0-85044342609","Q3","0.244","2210; 2500;"
"30","Akhrameev V.I., Akhrameev I.V., Babichenko A.V., Zemlyanyy E.S., Sokolov S.M.","Onboard flight safety support system development for low-altitude flights of light aircraft","2015","Biosciences Biotechnology Research Asia","Cand. of Techn. Sciences, ZAO Techaviacomplex, Gromov Flight Research Institute, Zhukovsky, Moscow Region, Russian Federation; ZAO Techaviacomplex, Gromov Flight Research Institute, Zhukovsky, Moscow Region, Russian Federation; OAO Ramenskoye Priborostroitelnoye Konstruktorskoye Biuro, Ramenskoye Design Company JSC, 2 Gurieva, Ramenskoye, Moscow Region, Russian Federation; Bauman Moscow State Technical University, 2-aia Baumanskaya str. 5, Moscow, Russian Federation; Keldysh Institute of Applied Mathematics RAS, 4 Miusskaya Sq., Moscow, Russian Federation","Akhrameev, V.I., Cand. of Techn. Sciences, ZAO Techaviacomplex, Gromov Flight Research Institute, Zhukovsky, Moscow Region, Russian Federation; Akhrameev, I.V., ZAO Techaviacomplex, Gromov Flight Research Institute, Zhukovsky, Moscow Region, Russian Federation; Babichenko, A.V., OAO Ramenskoye Priborostroitelnoye Konstruktorskoye Biuro, Ramenskoye Design Company JSC, 2 Gurieva, Ramenskoye, Moscow Region, Russian Federation; Zemlyanyy, E.S., Bauman Moscow State Technical University, 2-aia Baumanskaya str. 5, Moscow, Russian Federation; Sokolov, S.M., Keldysh Institute of Applied Mathematics RAS, 4 Miusskaya Sq., Moscow, Russian Federation","","","","9731245","Article","2-s2.0-84958761040","Q4","0.139","3002; 1102; 1305;"
